"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,"Link clicks","Sticker taps",Follows
17942554899218658,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,20,"05/01/2026 18:26",https://www.instagram.com/stories/purapura.ponsel/3887827427817417682,"IG story",,Lifetime,2244,1860,0,0,23,0,2161,,,
18092574566185548,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Dm""Android""Sekarang❣️",17,"05/01/2026 19:18",https://www.instagram.com/stories/purapura.ponsel/3887854002281583022,"IG story",,Lifetime,1909,1584,1,0,4,0,1868,,,
18076929134556342,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Dm""Iphone""sekarang❣️",12,"05/01/2026 19:19",https://www.instagram.com/stories/purapura.ponsel/3887853290038441014,"IG story",,Lifetime,1976,1632,0,0,7,1,1903,,,
18120513382646111,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Yuk Ke store Sekarang🔥",11,"05/01/2026 19:20",https://www.instagram.com/stories/purapura.ponsel/3887854244712362832,"IG story",,Lifetime,1811,1520,0,0,6,0,1765,,,
18101215772101173,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Setiap pembelian android brand new, kalian berkesempatan LUCKY DRAW yang hadiahnya berupa Voucher Belanja Jutaan Rupiah hingga 1Unit Handphone loh. Yuk jangan sampai ketinggalan momennya dan dapatkan harga spesial dengan DM sekarang 🤩",7,"05/01/2026 19:25",https://www.instagram.com/stories/purapura.ponsel/3887855513002826082,"IG story",,Lifetime,1714,1458,0,0,5,0,1629,,,
18090105674256651,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Gass Ke store Sekarang🔥",14,"05/01/2026 20:01",https://www.instagram.com/stories/purapura.ponsel/3887875001962183581,"IG story",,Lifetime,1759,1478,0,0,9,0,1724,,,
18358950418238952,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Dm""Tukar Tambah""sekarang🔥",13,"05/01/2026 21:03",https://www.instagram.com/stories/purapura.ponsel/3887905213450000508,"IG story",,Lifetime,1800,1543,0,0,12,1,1721,,,
18393109387154133,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","✅Promo Bunga dan DP 0% 
✅Syarat mudah dan cepat 
✅Free 1x cicilan",9,"05/01/2026 21:03",https://www.instagram.com/stories/purapura.ponsel/3887905985453560883,"IG story",,Lifetime,1747,1462,0,1,17,0,1663,,,
18021818189827759,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,20,"05/01/2026 21:55",https://www.instagram.com/stories/purapura.ponsel/3887932646244980731,"IG story",,Lifetime,1899,1526,1,0,17,1,1842,,10,
18411873469183935,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,0,"05/01/2026 23:11",https://www.instagram.com/stories/purapura.ponsel/3887971292427818939,"IG story",,Lifetime,1916,1571,0,0,19,0,1866,,10,
18008949482895520,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,11,"05/02/2026 03:01",https://www.instagram.com/stories/purapura.ponsel/3888086692092122822,"IG story",,Lifetime,1865,1565,1,0,18,0,1803,15,,
18091545983463064,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","DM""LOKER""SEKARANG🔥",9,"05/02/2026 03:01",https://www.instagram.com/stories/purapura.ponsel/3888086595136593968,"IG story",,Lifetime,1873,1571,0,1,12,4,1775,,,
17944959990161781,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Gass Ke store Sekarang🔥",25,"05/02/2026 03:04",https://www.instagram.com/stories/purapura.ponsel/3888086398004338749,"IG story",,Lifetime,1754,1487,0,0,17,0,1712,,,
18420449854134980,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,0,"05/02/2026 04:59",https://www.instagram.com/stories/purapura.ponsel/3888146049605524723,"IG story",,Lifetime,1864,1623,0,0,14,0,1819,,,
17983047656829500,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","DM""SERVICES""SEKARANG🚀",12,"05/02/2026 05:01",https://www.instagram.com/stories/purapura.ponsel/3888145589867890757,"IG story",,Lifetime,1876,1619,0,0,9,0,1805,,,
17912864373381473,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,0,"05/02/2026 05:01",https://www.instagram.com/stories/purapura.ponsel/3888147379535447453,"IG story",,Lifetime,1738,1485,0,0,6,0,1674,,2,
17972158916880083,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,20,"05/02/2026 05:04",https://www.instagram.com/stories/purapura.ponsel/3888148670022123691,"IG story",,Lifetime,1726,1446,1,0,9,0,1706,,,
18097194385935581,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,0,"05/02/2026 06:41",https://www.instagram.com/stories/purapura.ponsel/3888197792150262850,"IG story",,Lifetime,1794,1516,0,0,30,1,1728,,2,
18068136569666688,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,20,"05/02/2026 18:25",https://www.instagram.com/stories/purapura.ponsel/3888551946798440664,"IG story",,Lifetime,2232,1880,0,0,19,1,2154,,,
17948667840148802,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Dm""Iphone""sekarang❣️",12,"05/02/2026 19:08",https://www.instagram.com/stories/purapura.ponsel/3888573073901956450,"IG story",,Lifetime,2067,1721,0,0,11,1,1992,,,
18008686037909158,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Yuk Kestore sekarang✨",11,"05/02/2026 19:21",https://www.instagram.com/stories/purapura.ponsel/3888579004731674061,"IG story",,Lifetime,1763,1505,0,0,1,0,1733,,,
18079837817148954,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Dm""Android""sekarang🔥",17,"05/02/2026 19:21",https://www.instagram.com/stories/purapura.ponsel/3888573966953088091,"IG story",,Lifetime,1824,1552,1,0,7,0,1779,,,
17939769207032906,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Gass Ke store""sekarang🔥",12,"05/02/2026 20:01",https://www.instagram.com/stories/purapura.ponsel/3888599692523813156,"IG story",,Lifetime,1679,1480,0,0,9,0,1625,,,
17913710805181308,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Setiap pembelian android brand new, kalian berkesempatan LUCKY DRAW yang hadiahnya berupa Voucher Belanja Jutaan Rupiah hingga 1Unit Handphone loh. Yuk jangan sampai ketinggalan momennya dan dapatkan harga spesial dengan DM sekarang 🤩",16,"05/02/2026 20:01",https://www.instagram.com/stories/purapura.ponsel/3888598368608564835,"IG story",,Lifetime,1693,1446,0,0,16,0,1551,,,
18002142470744867,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Dm""Tukar Tambah""sekarang🔥",15,"05/02/2026 21:03",https://www.instagram.com/stories/purapura.ponsel/3888631212961651496,"IG story",,Lifetime,1557,1372,0,0,7,0,1495,,,
